c>,o<,o>,r<,r>,r<.1,r>.1,e<,e>,c<.1,c>.1,t<,t>,h<,h>,o<.1,o>.1,r<.2,r>.2,s<,s>,e<.1,e>.1,usuario
0.0689160823822021,0.0597517490386962,0.0601112842559814,0.2012271881103515,0.05869722366333,0.0703999996185302,0.0595948696136474,0.0925459861755371,0.0878026485443115,0.0599431991577148,0.0800337791442871,0.1324024200439453,0.0572035312652587,0.3508036136627197,0.04913330078125,0.1202747821807861,0.0496463775634765,0.0212547779083251,0.0689165592193603,0.1702637672424316,0.0697085857391357,0.0198996067047119,0.0409872531890869,alex
0.0486304759979248,0.0290882587432861,0.0398495197296142,0.1109135150909423,0.0390379428863525,0.0809834003448486,0.0692138671875,0.0607500076293945,0.0692152976989746,0.0807509422302246,0.0594069957733154,0.1304330825805664,0.0398108959197998,0.490105390548706,0.0495595932006835,0.1207518577575683,0.0591773986816406,0.0219626426696777,0.05898118019104,0.119645357131958,0.0897576808929443,0.0301365852355957,0.0494942665100097,alex
0.0585911273956298,0.0501549243927001,0.0598976612091064,0.0608203411102294,0.0289304256439209,0.0708186626434326,0.0694966316223144,0.0802900791168212,0.0707063674926757,0.079517126083374,0.0695099830627441,0.1308362483978271,0.049058198928833,0.6006300449371338,0.0594170093536376,0.1105365753173828,0.0,0.0495533943176269,0.0500752925872802,0.129784345626831,0.0806572437286377,0.0189607143402099,0.0494318008422851,alex
0.0590121746063232,0.0706067085266113,0.0393450260162353,0.0807828903198242,0.0492355823516845,0.0602903366088867,0.079935073852539,0.050370454788208,0.0705373287200927,0.0802321434020996,0.049722671508789,0.1405620574951172,0.0585706233978271,0.5907275676727295,0.0490918159484863,0.1200535297393798,0.0499348640441894,0.0098028182983398,0.0716218948364257,0.1392390727996826,0.0899515151977539,0.0203554630279541,0.0593101978302001,alex
0.0512402057647705,0.0485613346099853,0.049168586730957,0.0919361114501953,0.0480573177337646,0.0706489086151123,0.0795168876647949,0.0408675670623779,0.0896623134613037,0.0806884765625,0.068880558013916,0.1313850879669189,0.0584564208984375,0.8205735683441162,0.0592646598815918,0.1208388805389404,0.0594849586486816,0.0001342296600341,0.0597221851348876,0.1206238269805908,0.069368839263916,0.0199894905090332,0.0499131679534912,alex
0.0487327575683593,0.0501697063446044,0.0496773719787597,0.1105048656463623,0.0595085620880126,0.0904366970062255,0.060563325881958,0.0718367099761962,0.0776519775390625,0.0900142192840576,0.0594699382781982,0.1707868576049804,0.0390288829803466,0.5310795307159424,0.0492200851440429,0.1215286254882812,0.0494506359100341,0.0198771953582763,0.0591096878051757,0.700843334197998,0.0,0.0490732192993164,0.0500655174255371,alex
0.0792691707611084,0.0712282657623291,0.0486757755279541,0.2516729831695556,0.0390985012054443,0.0895302295684814,0.0597240924835205,0.0905008316040039,0.0805201530456543,0.1006355285644531,0.0783956050872802,0.1706573963165283,0.0591382980346679,0.3706848621368408,0.0595788955688476,0.1405842304229736,0.0,0.0390329360961914,0.0590779781341552,0.1412975788116455,0.0789046287536621,9.632110595703124e-05,0.0795192718505859,alex
0.0485093593597412,0.0403001308441162,0.0600378513336181,0.0806663036346435,0.0490913391113281,0.0806891918182373,0.0704405307769775,0.0703787803649902,0.0584709644317626,0.0919334888458252,0.0886433124542236,0.1802268028259277,0.0594503879547119,0.2603211402893066,0.0596866607666015,0.1206521987915039,0.0691971778869628,0.010930061340332,0.089285135269165,0.3306772708892822,0.0,0.0909974575042724,0.0592358112335205,alex
0.0590925216674804,0.0614762306213378,0.0483753681182861,0.1103789806365966,0.0396020412445068,0.051506757736206,0.0787639617919921,0.0605525970458984,0.0696134567260742,0.0804452896118164,0.0490777492523193,0.1805956363677978,0.0596454143524169,0.3503706455230713,0.0594980716705322,0.1112098693847656,0.0588748455047607,0.0001225471496582,0.079845905303955,0.1014580726623535,0.0986199378967285,0.010108470916748,0.0801010131835937,alex
0.0579569339752197,0.0517425537109375,0.0580866336822509,0.0906801223754882,0.0493450164794921,0.0705766677856445,0.0704469680786132,0.0695412158966064,0.069432258605957,0.0907878875732421,0.0806338787078857,0.1594440937042236,0.0592670440673828,0.311445951461792,0.0587310791015625,0.1205503940582275,0.0494129657745361,0.0001089572906494,0.05995774269104,0.1606390476226806,0.0794646739959716,0.0311331748962402,0.0586240291595459,alex
0.0585052967071533,0.0408296585083007,0.0503075122833251,0.1194238662719726,0.0394515991210937,0.0908756256103515,0.0797224044799804,0.0704302787780761,0.0691292285919189,0.2517421245574951,0.0681493282318115,0.1908786296844482,0.0692682266235351,0.2504847049713135,0.0494282245635986,0.1108522415161132,0.0,0.0493068695068359,0.0602500438690185,0.1604540348052978,0.0805950164794921,9.894371032714844e-05,0.0587444305419921,alex
0.0488917827606201,0.0815098285675048,0.0482997894287109,0.4509601593017578,0.0392556190490722,0.0907375812530517,0.0692982673645019,0.0503897666931152,0.0811648368835449,0.1988899707794189,0.0694503784179687,0.1905078887939453,0.0595765113830566,0.2211589813232422,0.0687940120697021,0.1107733249664306,0.0,0.038996934890747,0.0704631805419921,0.2899715900421142,0.0,0.0709495544433593,0.0623269081115722,alex
0.0587935447692871,0.080657958984375,0.04903244972229,0.0808196067810058,0.0492327213287353,0.0707263946533203,0.0695385932922363,0.0607705116271972,0.0793235301971435,0.0703692436218261,0.0807578563690185,0.1595122814178466,0.039170503616333,0.4005177021026611,0.0596194267272949,0.1104381084442138,0.0592777729034423,0.0101222991943359,0.0700762271881103,0.120715856552124,0.0898897647857666,0.0298840999603271,0.049239158630371,alex
0.0588111877441406,0.0706708431243896,0.0490088462829589,0.1207499504089355,0.0495116710662841,0.070239782333374,0.0799031257629394,0.0402379035949707,0.0903944969177246,0.0999658107757568,0.059232473373413,0.1506447792053222,0.0592987537384033,0.2804274559020996,0.0596785545349121,0.1025760173797607,0.0575771331787109,0.0506188869476318,0.0692312717437744,0.5604300498962402,0.0805673599243164,0.0001130104064941,0.058692455291748,alex
0.0487921237945556,0.1103923320770263,0.0494861602783203,0.1406641006469726,0.0489354133605957,0.0911116600036621,0.0799841880798339,0.0606539249420166,0.0685887336730957,0.1013987064361572,0.0887873172760009,0.1803677082061767,0.0593013763427734,0.2308740615844726,0.0589940547943115,0.1106629371643066,0.0595028400421142,0.0404584407806396,0.0697770118713378,0.2407186031341552,0.0797646045684814,0.0098450183868408,0.0695295333862304,alex
0.0487058162689209,0.0509471893310546,0.0592973232269287,0.1017112731933593,0.0384309291839599,0.0803871154785156,0.0698678493499755,0.0801143646240234,0.079709768295288,0.0300483703613281,0.069695234298706,0.5502040386199951,0.0497272014617919,0.5719099044799805,0.0683085918426513,0.1003406047821044,0.0594022274017334,0.1304414272308349,0.069700002670288,0.4408628940582275,0.0696520805358886,9.441375732421876e-05,0.0898678302764892,alex
0.048457384109497,0.0803627967834472,0.0496025085449218,0.6499457359313965,0.0398931503295898,0.0916447639465332,0.0583398342132568,0.0605082511901855,0.0696802139282226,0.1205053329467773,0.0698463916778564,0.1499371528625488,0.049772024154663,0.2603209018707275,0.0608727931976318,0.1002430915832519,0.0,0.049283742904663,0.0603151321411132,0.1212434768676757,0.0687189102172851,0.0299570560455322,0.0700430870056152,alex
0.0483536720275878,0.0509991645812988,0.0489933490753173,0.1204664707183837,0.0405418872833251,0.0706722736358642,0.0787134170532226,0.0502943992614746,0.0806288719177246,0.0690903663635253,0.0701394081115722,0.6301431655883789,0.0596203804016113,0.2607614994049072,0.0592463016510009,0.1014316082000732,0.0786187648773193,9.584426879882812e-05,0.0697090625762939,0.1710631847381591,0.0889286994934082,9.179115295410156e-05,0.0610027313232421,alex
0.0588381290435791,0.0804576873779296,0.0497803688049316,0.6304161548614502,0.0594267845153808,0.1016089916229248,0.0584385395050048,0.0915393829345703,0.0686326026916503,0.1417758464813232,0.0689058303833007,0.2101004123687744,0.0600082874298095,0.2198734283447265,0.0490710735321044,0.1110217571258544,0.0590860843658447,9.441375732421876e-05,0.0599937438964843,0.1301071643829345,0.079991340637207,0.040400743484497,0.0496680736541748,alex
0.0591433048248291,0.0615291595458984,0.0483705997467041,0.1105971336364746,0.0496864318847656,0.0706129074096679,0.0803146362304687,0.0493912696838378,0.0903384685516357,0.0799722671508789,0.0692715644836425,0.5208337306976318,0.0792784690856933,0.3213803768157959,0.0483729839324951,0.1108818054199218,0.0591721534729003,0.0099134445190429,0.0703670978546142,0.1615321636199951,0.0784821510314941,0.0107476711273193,0.06007981300354,alex
